2025-12-16 14:03:53,155 | INFO | === DQN BACKTEST START (Segment-aware, hourly, Behavioral ROI) ===
2025-12-16 14:05:02,061 | INFO | === DQN BACKTEST START (Segment-aware, hourly, Behavioral ROI) ===
2025-12-16 14:07:51,545 | INFO | === DQN BACKTEST START (Segment-aware, hourly, Behavioral ROI) ===
2025-12-16 14:07:51,656 | INFO | Backtest data aligned | lookback=60 | steps=1461
2025-12-16 14:07:51,906 | INFO | STEP 34 | Price=0.989893 | Next=0.984066 | logret=-0.005904 | eff=-0.005904 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,906 | INFO | STEP 35 | Price=0.984066 | Next=0.975975 | logret=-0.008256 | eff=-0.008256 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,906 | INFO | STEP 36 | Price=0.975975 | Next=0.977533 | logret=0.001595 | eff=0.001595 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,906 | INFO | STEP 37 | Price=0.977533 | Next=0.979455 | logret=0.001964 | eff=0.001964 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,906 | INFO | STEP 38 | Price=0.979455 | Next=0.979164 | logret=-0.000297 | eff=-0.000297 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,906 | INFO | STEP 39 | Price=0.979164 | Next=0.979569 | logret=0.000414 | eff=0.000414 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,906 | INFO | STEP 40 | Price=0.979569 | Next=0.978624 | logret=-0.000965 | eff=-0.000965 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,906 | INFO | STEP 41 | Price=0.978624 | Next=0.979340 | logret=0.000732 | eff=0.000732 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,906 | INFO | STEP 42 | Price=0.979340 | Next=0.975674 | logret=-0.003751 | eff=-0.003751 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,906 | INFO | STEP 43 | Price=0.975674 | Next=0.969369 | logret=-0.006483 | eff=-0.006483 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,906 | INFO | STEP 44 | Price=0.969369 | Next=0.970906 | logret=0.001585 | eff=0.001585 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,906 | INFO | STEP 45 | Price=0.970906 | Next=0.971571 | logret=0.000684 | eff=0.000684 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,906 | INFO | STEP 46 | Price=0.971571 | Next=0.972443 | logret=0.000898 | eff=0.000898 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,906 | INFO | STEP 47 | Price=0.972443 | Next=0.976505 | logret=0.004168 | eff=0.004168 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,906 | INFO | STEP 48 | Price=0.976505 | Next=0.971467 | logret=-0.005172 | eff=-0.005172 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,906 | INFO | STEP 49 | Price=0.971467 | Next=0.973025 | logret=0.001603 | eff=0.001603 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,906 | INFO | STEP 50 | Price=0.973025 | Next=0.974303 | logret=0.001312 | eff=0.001312 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,906 | INFO | STEP 51 | Price=0.974303 | Next=0.972703 | logret=-0.001643 | eff=-0.001643 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,906 | INFO | STEP 52 | Price=0.972703 | Next=0.966346 | logret=-0.006557 | eff=-0.006557 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,922 | INFO | STEP 53 | Price=0.966346 | Next=0.967707 | logret=0.001407 | eff=0.001407 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,922 | INFO | STEP 54 | Price=0.967707 | Next=0.970532 | logret=0.002915 | eff=0.002915 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,922 | INFO | STEP 55 | Price=0.970532 | Next=0.969410 | logret=-0.001157 | eff=-0.001157 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,922 | INFO | STEP 56 | Price=0.969410 | Next=0.969556 | logret=0.000150 | eff=0.000150 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,922 | INFO | STEP 57 | Price=0.969556 | Next=0.972090 | logret=0.002611 | eff=0.002611 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,922 | INFO | STEP 58 | Price=0.972090 | Next=0.974583 | logret=0.002561 | eff=0.002561 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,922 | INFO | STEP 59 | Price=0.974583 | Next=0.973253 | logret=-0.001365 | eff=-0.001365 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,922 | INFO | STEP 60 | Price=0.973253 | Next=0.974936 | logret=0.001727 | eff=0.001727 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,922 | INFO | STEP 61 | Price=0.974936 | Next=0.975601 | logret=0.000682 | eff=0.000682 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,922 | INFO | STEP 62 | Price=0.975601 | Next=0.975269 | logret=-0.000341 | eff=-0.000341 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,922 | INFO | STEP 63 | Price=0.975269 | Next=0.973098 | logret=-0.002228 | eff=-0.002228 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,922 | INFO | STEP 64 | Price=0.973098 | Next=0.969836 | logret=-0.003357 | eff=-0.003357 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,922 | INFO | STEP 65 | Price=0.969836 | Next=0.969130 | logret=-0.000729 | eff=-0.000729 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,922 | INFO | STEP 66 | Price=0.969130 | Next=0.968652 | logret=-0.000493 | eff=-0.000493 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,922 | INFO | STEP 67 | Price=0.968652 | Next=0.966035 | logret=-0.002706 | eff=-0.002706 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,922 | INFO | STEP 68 | Price=0.966035 | Next=0.962856 | logret=-0.003296 | eff=-0.003296 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,922 | INFO | STEP 69 | Price=0.962856 | Next=0.968434 | logret=0.005776 | eff=0.005776 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,922 | INFO | STEP 70 | Price=0.968434 | Next=0.970054 | logret=0.001672 | eff=0.001672 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,922 | INFO | STEP 71 | Price=0.970054 | Next=0.968299 | logret=-0.001811 | eff=-0.001811 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,922 | INFO | STEP 72 | Price=0.968299 | Next=0.968922 | logret=0.000643 | eff=0.000643 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,922 | INFO | STEP 73 | Price=0.968922 | Next=0.969992 | logret=0.001104 | eff=0.001104 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,922 | INFO | STEP 74 | Price=0.969992 | Next=0.976307 | logret=0.006490 | eff=0.006490 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,922 | INFO | STEP 75 | Price=0.976307 | Next=0.975445 | logret=-0.000883 | eff=-0.000883 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,922 | INFO | STEP 76 | Price=0.975445 | Next=0.973555 | logret=-0.001940 | eff=-0.001940 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,922 | INFO | STEP 77 | Price=0.973555 | Next=0.976754 | logret=0.003281 | eff=0.003281 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,922 | INFO | STEP 78 | Price=0.976754 | Next=0.973503 | logret=-0.003334 | eff=-0.003334 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,922 | INFO | STEP 79 | Price=0.973503 | Next=0.976453 | logret=0.003026 | eff=0.003026 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,922 | INFO | STEP 80 | Price=0.976453 | Next=0.978665 | logret=0.002263 | eff=0.002263 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,922 | INFO | STEP 81 | Price=0.978665 | Next=0.975321 | logret=-0.003423 | eff=-0.003423 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,922 | INFO | STEP 82 | Price=0.975321 | Next=0.977980 | logret=0.002723 | eff=0.002723 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,922 | INFO | STEP 83 | Price=0.977980 | Next=0.978603 | logret=0.000637 | eff=0.000637 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,937 | INFO | STEP 84 | Price=0.978603 | Next=0.976889 | logret=-0.001753 | eff=-0.001753 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,937 | INFO | STEP 85 | Price=0.976889 | Next=0.977616 | logret=0.000744 | eff=0.000744 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
